"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AT4G27720",-0.895582591124709,4.95184722949051,-3.47742552539563,0.00434198408789735,0.020562579483331,-2.7671533208877
"AT3G45260",-0.895497917174795,3.39537401856386,-10.6593169409577,1.28324161492023e-07,6.8844235200451e-06,7.99468326359433
"AT4G35090",-0.895411768890195,8.61248230655929,-6.01669165544445,5.20354157256977e-05,0.000619238421356228,1.77550696850073
"AT3G11090",-0.895292570238216,2.94303789723123,-6.48069587298039,2.54384681284205e-05,0.000355111064651544,2.51874263924173
"AT3G15650",-0.89519495793555,1.20339840923458,-7.1385661571629,9.69128328332076e-06,0.000169160395370552,3.5215750499809
"AT2G39190",-0.89512318663587,4.82801836177409,-8.41809250520675,1.73088436344566e-06,4.56833812741248e-05,5.3099116267626
"AT2G17972",-0.894833269547141,4.07636311024927,-1.90335150945275,0.0803808193612769,0.208693930261648,-5.5929160457783
"AT5G52190",-0.894830402373498,0.431708283086477,-0.978166953116259,0.346627194260389,0.612344590906702,-6.80611222829449
"AT1G66180",-0.89453180856542,6.60817070558102,-4.78338529641965,0.000403304763876133,0.00311642864493883,-0.343403449959386
"AT3G61080",-0.894456633925343,4.21011864674027,-5.30462246792641,0.000165416233881492,0.00151749405058145,0.576789760934284
"AT3G50300",0.894397036054821,2.06303447981004,5.43081720372669,0.000134064652609676,0.00129615569468007,0.794283115810222
"AT5G19500",-0.894354133525045,3.11882808868735,-6.1011315752517,4.5580442250249e-05,0.000560083330988932,1.91299765400175
"AT1G21670",0.893943809018916,3.02846490682612,5.29200517493837,0.000168949135041511,0.00154086304189387,0.554927282563024
"AT5G01730",-0.893934914872601,2.72051680160396,-5.08861898811479,0.000238243731362933,0.00203175491736083,0.199631115393315
"AT1G62980",0.893885016329125,2.96206240160661,3.63538691127682,0.00323002733332081,0.0162282306709904,-2.46888820076544
"AT1G71200",-0.893826808899564,0.469264680293982,-7.07109583529458,1.06717415880922e-05,0.000181750163123933,3.42142688220519
"AT2G21620",0.893568756300341,6.03913659386165,5.75034989727171,7.95352543994462e-05,0.000861816805702344,1.33531851704928
"AT4G32940",0.893551141355347,5.06701366451748,7.47818970492005,6.01855911773336e-06,0.000118101472803076,4.01653632882304
"AT2G08755",0.893467054245512,0.757211134599722,1.75200246115311,0.104360113448938,0.249214895982906,-5.82712419369704
"AT3G29185",-0.893234873226839,4.96960451574035,-8.26349245121001,2.10993089009613e-06,5.29604044519711e-05,5.1045999986511
