"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"AT5G27470";-0.0234972685559152;6.03179208587332;-0.254439344439253;0.803312494105672;1;-7.02720735394233
"AT5G48830";0.0234883666068284;3.29550005633133;0.184331420897494;0.85672358143347;1;-7.04363877654841
"AT5G52030";-0.0234729788176393;2.53064672689412;-0.176419128018008;0.8628035619459;1;-7.04516552837907
"AT1G80070";-0.0234682750496127;5.194611183361;-0.280404263901668;0.783774964658955;1;-7.01980273045795
"AT2G08775";0.0234442880403573;0.0671972036497828;0.284850636278586;0.780444154996807;1;-7.01846350783754
"AT1G53790";-0.0234318769308326;1.92082327874286;-0.154542428179876;0.879660527124394;1;-7.04903984823607
"AT3G48030";0.0234304976760655;3.23756484325747;0.175073794302456;0.863838267381399;1;-7.04541849547673
"AT1G17170";0.023422319504359;3.6781584328239;0.0904147580797244;0.929396810633289;1;-7.05745330519953
"AT4G16230";0.0234142933235809;0.388198035433175;0.171875330387183;0.866299279066789;1;-7.04601217549029
"AT5G08635";-0.0234035002232756;0.00390058337054594;-1.75094094966199;0.104548854915225;0.457215149459276;-5.59334809207075
"AT3G15220";0.0233986532324408;3.34679511765215;0.232339887963767;0.820051600071911;1;-7.0329489645014
"AT1G67690";0.0233986526788699;2.12834485172659;0.213073658535517;0.834720621559023;1;-7.03753269087565
"AT3G24490";0.0233862654158621;3.74711867766598;0.179053671920886;0.860778084354119;1;-7.04466456667031
"AT5G12410";0.02336819373014;4.72524754676535;0.280319963056494;0.783838158326878;1;-7.01982792048198
"AT3G05410";-0.0233600693133207;4.21916511141049;-0.180080831886759;0.859988666176492;1;-7.04446724942408
"AT1G05060";-0.0233577519458348;3.47381008097185;-0.294622324219214;0.773140101753531;1;-7.0154472906638
"AT1G64080";-0.023334022727219;1.822443161469;-0.212558755746144;0.835113576860151;1;-7.03764979509975
"AT4G18335";0.0233303129988692;0.0419553899765318;0.530687184857452;0.604978190463848;1;-6.91249642189894
"AT3G19050";0.0233291057125746;2.01710941512218;0.201430295989004;0.843617552809504;1;-7.04011198233363
"AT2G41540";-0.0233238937847808;3.92324308816861;-0.302142716704763;0.767534130617993;1;-7.0130576833837
"AT1G05347";-0.0233217084441426;6.24172116546831;-0.126125829455624;0.901647428394902;1;-7.05331024724447
"AT4G01150";0.0233107757795334;9.38126471312338;0.154194320485636;0.879929279517684;1;-7.04909737460194
"AT2G33830";-0.0233012451159462;7.62216442375727;-0.0592679130989839;0.953679973553373;1;-7.05995239640646
"AT4G39420";0.0232946034288561;2.269108486828;0.260937904046989;0.798409025602992;1;-7.02542080175382
"AT5G49152";0.023285238622185;0.591886499014887;0.12751270504414;0.900572225098931;1;-7.05312184347019
"AT4G31460";0.023270551049376;4.73905256627177;0.180991208382231;0.85928913278425;1;-7.04429142771551
"AT1G06597";-0.0232699159167389;0.0141561861071525;-1.8249722629603;0.0920939898846235;0.451167109800335;-5.48061059473588
"AT1G56710";0.0232688621906406;0.160844989631728;0.220273054911594;0.829231209342213;1;-7.03586588223793
"AT5G10180";-0.0232617181265935;4.3317621844297;-0.140615177435825;0.890424695936614;1;-7.05124051662162
"AT3G28360";-0.0232456090559254;0.00522129140160103;-1.65497591966685;0.122916223716478;0.492039548071583;-5.73524889901401
"AT1G22190";0.0232326002340226;5.60807456557494;0.0797198023919796;0.937727930260017;1;-7.0584285600333
"AT1G14920";0.023227070681942;3.64285966504517;0.0976648706521916;0.92375402485168;1;-7.05672254115229
"AT1G53250";0.0232262396474701;3.30382469107275;0.294101916254579;0.773528529641672;1;-7.01561045385182
"AT1G17290";0.0232143953776189;6.18663385717084;0.271100799397482;0.790758614968446;1;-7.02253756057614
"AT1G07660";0.0232117387271735;5.35563418843175;0.190915917716152;0.85167116989532;1;-7.04231746278518
"AT1G08550";-0.0231998071879351;4.54125504089082;-0.147480369121738;0.885115708175429;1;-7.05018159975162
"AT1G45545";0.023199495192621;0.87447300517431;0.217845390084044;0.831081229101451;1;-7.03643407854414
"AT3G29170";0.0231946150254494;3.49566287184734;0.1485289853619;0.884305296167343;1;-7.05001542902567
"AT4G37940";-0.0231908847127966;1.27168876816662;-0.157651824570832;0.877260650268537;1;-7.04852027464433
"AT1G08060";0.0231842816295242;2.10238281612339;0.284259303144834;0.780886867420646;1;-7.01864281307475
"AT2G33840";-0.0231650582873755;4.5007684111796;-0.38535931556071;0.706478090363749;1;-6.98267040327414
"AT3G15850";0.0231594475024748;6.65641733340402;0.13783032291938;0.892579870470953;1;-7.05165572268446
"AT4G38250";0.0231526976206865;0.0061312527051076;1.51139099974437;0.155662108108201;0.554229582145127;-5.93784212892884
"AT3G10700";0.0231288384852824;3.29018991062633;0.364870605215421;0.72133424054331;1;-6.9908209797902
"AT1G53620";-0.0231169413987307;0.315759217131455;-0.140094329273051;0.890827707107078;1;-7.05131880155477
"AT2G24740";-0.0231129949204448;0.0177229076837199;-1.23922584464216;0.238127539031051;0.684235707412536;-6.28559205078863
"AT3G14330";-0.0231045314443681;2.66731470445451;-0.147386380728768;0.885188352729133;1;-7.05019643649077
"AT3G48190";0.023095735563291;1.85142124742628;0.204606296724551;0.841188422371761;1;-7.03942269382184
"AT2G42550";0.0230676519589097;0.011145200058885;1.03511578932572;0.3203137544197;0.789021044254033;-6.51079133308835
"AT3G03590";0.0230564684846697;2.76138327393263;0.196873734095911;0.847105508132664;1;-7.04108218315415
"AT5G13560";0.0230544241811561;4.48692502507307;0.401669226535243;0.694740823151442;1;-6.97587161744909
"AT5G50860";-0.0230505736823958;3.35808018267505;-0.335031798480467;0.743181689377646;1;-7.00191091321356
"AT4G28540";0.0230489075601934;4.53581110480954;0.370787130966909;0.717031743753296;1;-6.98851203576028
