"";"activated.genes";"repressed.genes";"DEGs"
"208";"AT2G02010";"AT2G45180";"AT2G02010"
"209";"AT2G44460";"AT3G14420";"AT2G44460"
"210";"AT4G02700";"AT5G13630";"AT4G02700"
"211";"AT4G18253";"AT5G43890";"AT4G18253"
"212";"AT5G02020";"AT1G42970";"AT5G02020"
"213";"AT3G58270";"AT2G35710";"AT3G58270"
"214";"AT1G21250";"AT5G01530";"AT1G21250"
"215";"AT5G11410";"AT4G39710";"AT5G11410"
"216";"AT2G23010";"AT4G25100";"AT2G23010"
"217";"ATCG00020";"AT4G25490";"ATCG00020"
"218";"AT1G10070";"AT1G32470";"AT1G10070"
"219";"AT1G04647";"AT5G57560";"AT1G04647"
"220";"AT3G13080";"AT5G64850";"AT3G13080"
"221";"AT5G13580";"AT1G77640";"AT5G13580"
"222";"AT2G04450";"AT3G22275";"AT2G04450"
"223";"AT3G44970";"AT4G35985";"AT3G44970"
"224";"AT5G55050";"AT5G47910";"AT5G55050"
"225";"AT3G60415";"AT2G26530";"AT3G60415"
"226";"AT4G03420";"AT1G69900";"AT4G03420"
"227";"AT5G51465";"AT5G58310";"AT5G51465"
"228";"AT3G50980";"AT4G27652";"AT3G50980"
"229";"AT2G28190";"AT2G45685";"AT2G28190"
"230";"AT2G02930";"AT3G14210";"AT2G02930"
"231";"AT2G46690";"AT4G04640";"AT2G46690"
"232";"AT4G36610";"AT3G55330";"AT4G36610"
"233";"AT5G52310";"AT1G66940";"AT5G52310"
"234";"AT1G19530";"AT4G22505";"AT1G19530"
"235";"AT1G73600";"AT3G46900";"AT1G73600"
"236";"AT1G52040";"AT5G22570";"AT1G52040"
"237";"AT2G43535";"AT4G08040";"AT2G43535"
"238";"AT2G45570";"AT2G41640";"AT2G45570"
"239";"AT5G16010";"AT1G03600";"AT5G16010"
"240";"AT1G21360";"AT3G04790";"AT1G21360"
"241";"AT4G02280";"AT1G68010";"AT4G02280"
"242";"AT3G51860";"AT4G23290";"AT3G51860"
"243";"AT4G07815";"AT4G01360";"AT4G07815"
"244";"AT2G42065";"AT2G01180";"AT2G42065"
"245";"AT4G14365";"AT5G24590";"AT4G14365"
"246";"AT3G41762";"AT3G16250";"AT3G41762"
"247";"AT2G40170";"AT5G66190";"AT2G40170"
"248";"AT5G12420";"AT1G75690";"AT5G12420"
"249";"AT4G13540";"AT3G52450";"AT4G13540"
"250";"AT5G03585";"AT3G50800";"AT5G03585"
"251";"AT4G39320";"AT4G15150";"AT4G39320"
"252";"AT3G02505";"AT4G39970";"AT3G02505"
"253";"AT2G32190";"AT5G42380";"AT2G32190"
"254";"AT2G21820";"AT3G10060";"AT2G21820"
"255";"AT3G57460";"AT4G24110";"AT3G57460"
"256";"AT4G01026";"AT3G54020";"AT4G01026"
"257";"AT5G54165";"AT2G41240";"AT5G54165"
"258";"AT1G14780";"AT1G20020";"AT1G14780"
"259";"AT1G52410";"AT4G04075";"AT1G52410"
"260";"AT3G10190";"AT2G18210";"AT3G10190"
"261";"AT3G29590";"AT4G32260";"AT3G29590"
"262";"AT1G13990";"AT2G20260";"AT1G13990"
"263";"AT5G38020";"AT1G72910";"AT5G38020"
"264";"AT4G18170";"AT1G75460";"AT4G18170"
"265";"AT4G39360";"AT4G25050";"AT4G39360"
"266";"AT3G53040";"AT1G79040";"AT3G53040"
"267";"AT1G54020";"AT5G62360";"AT1G54020"
"268";"AT5G59220";"AT3G55500";"AT5G59220"
"269";"AT3G53980";"AT4G22890";"AT3G53980"
"270";"AT4G14090";"AT1G68840";"AT4G14090"
"271";"AT5G25350";"AT4G35250";"AT5G25350"
"272";"AT3G55970";"AT1G32970";"AT3G55970"
"273";"AT4G31330";"AT5G13770";"AT4G31330"
"274";"AT4G17660";"AT5G45820";"AT4G17660"
"275";"AT1G32870";"AT2G42220";"AT1G32870"
"276";"AT2G18969";"AT5G47220";"AT2G18969"
"277";"AT4G22960";"AT1G11960";"AT4G22960"
"278";"AT1G50420";"AT5G66210";"AT1G50420"
"279";"AT2G35300";"AT5G45110";"AT2G35300"
"280";"ATCG00905";"AT3G14415";"ATCG00905"
"281";"ATCG01230";"AT5G04375";"ATCG01230"
"282";"AT1G14630";"AT4G28660";"AT1G14630"
"283";"AT1G80160";"AT3G46090";"AT1G80160"
"284";"AT4G03540";"AT5G67370";"AT4G03540"
"285";"AT5G48110";"AT5G64900";"AT5G48110"
"286";"AT2G25510";"AT3G57530";"AT2G25510"
