"";"activated.genes";"repressed.genes";"DEGs"
"1008";NA;"AT1G09940";"AT1G50750"
"1009";NA;"AT2G28630";"AT3G55800"
"1010";NA;"AT5G63790";"AT1G61520"
"1011";NA;"AT2G27389";"AT1G63030"
"1012";NA;"AT5G52440";"AT3G21055"
"1013";NA;"AT4G38420";"AT4G12800"
"1014";NA;"AT5G41100";"AT1G18300"
"1015";NA;"AT2G43030";"AT3G16860"
"1016";NA;"AT2G16380";"AT4G11280"
"1017";NA;"AT1G58420";"AT5G62520"
"1018";NA;"AT2G21510";"AT4G28750"
"1019";NA;"AT2G44500";"AT1G32080"
"1020";NA;"AT3G44630";"AT1G44575"
"1021";NA;"AT2G47240";"AT1G08380"
"1022";NA;"AT1G18170";"AT1G30380"
"1023";NA;"AT5G08650";"AT1G09950"
"1024";NA;"AT1G03475";"AT3G07195"
"1025";NA;"AT5G54380";"AT5G01015"
"1026";NA;"AT3G55630";"AT1G70760"
"1027";NA;"AT3G11700";"AT1G32060"
"1028";NA;"AT1G78630";"AT1G56240"
"1029";NA;"AT4G09160";"AT1G76640"
"1030";NA;"AT3G16000";"AT2G25735"
"1031";NA;"AT2G25625";"AT5G17350"
"1032";NA;"AT5G07240";"AT1G17420"
"1033";NA;"AT5G10250";"AT3G62410"
"1034";NA;"AT5G49740";"AT4G17490"
"1035";NA;"AT3G15210";"AT3G54050"
"1036";NA;"AT5G59250";"AT1G20510"
"1037";NA;"AT1G13210";"AT3G16140"
"1038";NA;"AT3G22420";"AT4G02770"
"1039";NA;"AT3G02585";"AT4G12830"
"1040";NA;"AT2G47750";"AT1G29930"
"1041";NA;"AT5G12050";"AT1G73870"
"1042";NA;"AT5G57170";"AT1G12900"
"1043";NA;"AT2G04700";"AT3G02840"
"1044";NA;"AT3G14870";"AT1G19150"
"1045";NA;"AT3G27925";"AT1G60950"
"1046";NA;"AT1G53635";"AT3G01440"
"1047";NA;"AT3G50790";"AT1G20340"
"1048";NA;"AT3G08740";"AT4G27654"
"1049";NA;"AT4G02410";"AT1G51400"
"1050";NA;"AT5G58250";"AT1G76600"
"1051";NA;"AT5G30510";"AT1G01580"
"1052";NA;"AT2G20920";"AT5G23060"
"1053";NA;"AT5G48570";"AT4G21870"
"1054";NA;"AT1G48350";"AT2G17660"
"1055";NA;"AT1G55370";"AT3G61190"
"1056";NA;"AT2G40400";"AT4G25470"
"1057";NA;"AT2G45820";"AT3G01830"
"1058";NA;"ATCG00190";"AT4G08950"
"1059";NA;"AT1G19020";"AT1G57990"
"1060";NA;"AT5G39670";"AT1G06680"
"1061";NA;"AT2G33570";"AT4G21280"
"1062";NA;"AT5G11650";"AT3G09870"
"1063";NA;"AT2G31040";"AT2G22760"
"1064";NA;"AT5G51020";"AT3G20600"
"1065";NA;"AT1G20810";"AT4G38970"
"1066";NA;"AT1G05675";"AT5G64040"
"1067";NA;"AT5G42650";"AT4G37925"
"1068";NA;"AT4G06115";"AT3G45960"
"1069";NA;"AT5G63310";"AT4G01950"
"1070";NA;"AT2G32540";"AT1G67740"
"1071";NA;"AT2G21960";"AT1G14150"
"1072";NA;"AT3G06070";"AT5G28610"
"1073";NA;"AT1G64500";"AT3G50820"
"1074";NA;"AT1G08540";"AT1G56660"
"1075";NA;"AT4G13575";"AT5G11070"
"1076";NA;"AT4G12917";"AT2G06520"
"1077";NA;"AT4G02920";"AT1G27730"
"1078";NA;"AT4G25390";"AT2G21330"
"1079";NA;"AT1G06690";"AT3G44260"
"1080";NA;"AT1G24530";"AT3G61470"
"1081";NA;"AT2G27420";"AT5G36790"
"1082";NA;"AT5G65220";"AT5G36700"
"1083";NA;"AT2G40330";"AT3G04210"
"1084";NA;"AT3G48320";"AT5G56080"
"1085";NA;"AT5G19250";"AT1G72416"
"1086";NA;"AT1G52190";"AT2G39470"
"1087";NA;"AT1G06830";"AT5G28450"
"1088";NA;"AT1G59870";"AT2G30570"
"1089";NA;"AT4G30390";"AT3G05727"
"1090";NA;"AT4G26260";"AT2G42760"
"1091";NA;"AT4G27520";"AT1G76100"
"1092";NA;"AT2G09225";"AT3G44860"
"1093";NA;"AT3G05200";"AT2G34620"
"1094";NA;"AT3G19200";"AT5G22250"
"1095";NA;"AT3G15110";"AT3G59400"
"1096";NA;"AT4G01330";"AT3G45640"
"1097";NA;"AT4G26690";"AT5G19240"
"1098";NA;"AT5G21960";"AT1G18730"
"1099";NA;"AT2G34930";"AT4G27280"
"1100";NA;"AT5G25930";"AT1G72920"
"1101";NA;"AT5G39580";"AT5G35630"
"1102";NA;"AT5G62865";"AT2G29290"
"1103";NA;"AT5G45930";"AT2G38470"
"1104";NA;"AT5G66900";"AT3G56940"
"1105";NA;"AT1G63880";"AT4G37930"
"1106";NA;"AT1G26730";"AT3G46780"
"1107";NA;"AT3G56410";"AT1G07887"
"1108";NA;"AT3G22142";"AT2G41010"
"1109";NA;"AT2G18690";"AT3G18890"
"1110";NA;"AT3G51510";"AT3G47070"
"1111";NA;"AT1G49130";"AT3G48420"
"1112";NA;"AT1G11750";"AT1G14345"
"1113";NA;"AT2G33850";"AT3G50060"
"1114";NA;"AT5G19100";"AT4G13500"
"1115";NA;"AT2G01918";"AT3G27540"
"1116";NA;"AT3G05900";"AT1G73540"
"1117";NA;"AT4G01690";"AT4G34150"
"1118";NA;"AT3G14810";"AT3G63160"
"1119";NA;"AT4G28706";"AT1G15980"
"1120";NA;"AT5G03650";"AT4G09650"
"1121";NA;"AT4G37850";"AT3G02730"
"1122";NA;"AT1G15960";"AT4G13395"
"1123";NA;"AT3G25780";"AT2G30020"
"1124";NA;"AT5G16830";"AT1G55480"
"1125";NA;"AT4G15975";"AT4G18205"
"1126";NA;"AT5G47840";"AT4G33010"
"1127";NA;"AT1G72645";"AT1G11185"
"1128";NA;"AT2G07675";"AT4G09010"
"1129";NA;"AT5G05690";"AT1G70985"
"1130";NA;"AT4G23570";"AT4G01250"
"1131";NA;"AT3G60290";"AT1G74880"
"1132";NA;"AT5G44190";"AT5G66570"
"1133";NA;"AT2G47590";"AT1G74450"
"1134";NA;"AT5G44070";"AT4G03280"
"1135";NA;"AT4G16515";"AT2G04039"
"1136";NA;"AT4G29060";"AT2G36650"
"1137";NA;"AT3G04255";"AT4G19690"
"1138";NA;"AT1G30360";"AT5G58260"
"1139";NA;"AT2G22980";"AT5G01040"
"1140";NA;"AT5G14910";"AT5G02780"
"1141";NA;"AT4G38825";"AT2G45180"
"1142";NA;"AT3G46490";"AT3G14420"
"1143";NA;"AT2G36540";"AT5G13630"
"1144";NA;"AT4G17560";"AT5G43890"
"1145";NA;"AT4G39800";"AT1G42970"
"1146";NA;"AT1G53903";"AT2G35710"
"1147";NA;"AT5G43620";"AT5G01530"
"1148";NA;"AT1G56520";"AT4G39710"
"1149";NA;"AT1G12580";"AT4G25100"
"1150";NA;"AT1G51110";"AT4G25490"
"1151";NA;"AT5G14120";"AT1G32470"
"1152";NA;"AT1G35340";"AT5G57560"
"1153";NA;"AT1G53885";"AT5G64850"
"1154";NA;"AT2G34060";"AT1G77640"
"1155";NA;"AT3G56160";"AT3G22275"
"1156";NA;"AT1G29720";"AT4G35985"
"1157";NA;"AT3G54660";"AT5G47910"
"1158";NA;"AT1G65490";"AT2G26530"
"1159";NA;"AT1G72240";"AT1G69900"
"1160";NA;"AT1G11670";"AT5G58310"
"1161";NA;"ATMG00980";"AT4G27652"
"1162";NA;"AT2G46240";"AT2G45685"
"1163";NA;"AT5G46800";"AT3G14210"
"1164";NA;"AT5G19190";"AT4G04640"
"1165";NA;"AT3G48730";"AT3G55330"
"1166";NA;"AT2G21500";"AT1G66940"
"1167";NA;"AT2G46735";"AT4G22505"
"1168";NA;"AT1G04537";"AT3G46900"
"1169";NA;"AT1G21090";"AT5G22570"
"1170";NA;"AT2G14080";"AT4G08040"
"1171";NA;"AT5G46450";"AT2G41640"
"1172";NA;"AT2G29650";"AT1G03600"
"1173";NA;"AT2G40300";"AT3G04790"
"1174";NA;"AT2G15760";"AT1G68010"
"1175";NA;"AT1G79790";"AT4G23290"
"1176";NA;"AT5G62470";"AT4G01360"
"1177";NA;"AT2G30950";"AT2G01180"
"1178";NA;"AT1G03400";"AT5G24590"
"1179";NA;"AT1G17050";"AT3G16250"
"1180";NA;"AT4G03520";"AT5G66190"
"1181";NA;"AT1G51660";"AT1G75690"
"1182";NA;"AT2G47940";"AT3G52450"
"1183";NA;"AT4G35480";"AT3G50800"
"1184";NA;"AT1G05213";"AT4G15150"
"1185";NA;"AT1G03020";"AT4G39970"
"1186";NA;"AT2G28605";"AT5G42380"
"1187";NA;"AT2G17705";"AT3G10060"
"1188";NA;"AT4G11780";"AT4G24110"
"1189";NA;"AT5G06320";"AT3G54020"
"1190";NA;"AT1G72950";"AT2G41240"
"1191";NA;"AT1G34760";"AT1G20020"
"1192";NA;"AT5G49920";"AT4G04075"
"1193";NA;"AT2G41480";"AT2G18210"
"1194";NA;"AT5G15410";"AT4G32260"
"1195";NA;"AT2G07751";"AT2G20260"
"1196";NA;"AT1G62960";"AT1G72910"
"1197";NA;"AT5G46710";"AT1G75460"
"1198";NA;"AT2G25080";"AT4G25050"
"1199";NA;"AT1G15175";"AT1G79040"
"1200";NA;"AT5G46240";"AT5G62360"
"1201";NA;"AT3G62530";"AT3G55500"
"1202";NA;"AT5G38005";"AT4G22890"
"1203";NA;"AT3G54430";"AT1G68840"
"1204";NA;"AT5G58770";"AT4G35250"
"1205";NA;"AT5G08720";"AT1G32970"
"1206";NA;"AT3G02380";"AT5G13770"
"1207";NA;"AT5G58090";"AT5G45820"
"1208";NA;"AT1G77060";"AT2G42220"
"1209";NA;"AT3G52520";"AT5G47220"
"1210";NA;"AT2G35660";"AT1G11960"
"1211";NA;"AT5G27390";"AT5G66210"
"1212";NA;"AT2G42040";"AT5G45110"
"1213";NA;"AT5G35580";"AT3G14415"
"1214";NA;"AT5G62020";"AT5G04375"
"1215";NA;"AT1G63970";"AT4G28660"
"1216";NA;"AT3G26180";"AT3G46090"
"1217";NA;"AT1G02475";"AT5G67370"
"1218";NA;"AT2G29510";"AT5G64900"
"1219";NA;"AT1G67880";"AT3G57530"
"1220";NA;"AT2G42580";"AT5G12340"
"1221";NA;"AT1G73510";"AT3G21150"
"1222";NA;"AT1G29110";"AT3G26060"
"1223";NA;"AT4G00080";"AT1G20823"
"1224";NA;"AT1G27460";"AT3G01480"
"1225";NA;"AT4G08770";"AT3G05730"
"1226";NA;"AT1G64980";"AT2G28780"
"1227";NA;"AT2G23672";"AT1G56250"
"1228";NA;"AT4G24350";"AT4G28080"
"1229";NA;"AT3G63540";"AT5G43650"
"1230";NA;"AT3G59060";"AT3G19240"
"1231";NA;"AT1G71480";"AT4G24380"
"1232";NA;"ATMG00990";"AT5G02540"
"1233";NA;"AT1G24170";"AT3G23250"
"1234";NA;"AT3G17690";"AT5G09660"
"1235";NA;"AT5G60600";"AT3G11110"
"1236";NA;"AT4G00050";"AT1G20310"
"1237";NA;"AT1G18290";"AT4G21840"
"1238";NA;"AT5G39785";"AT4G24930"
"1239";NA;"AT4G20780";"AT5G19940"
"1240";NA;"AT1G02705";"AT3G52800"
"1241";NA;"AT2G18328";"AT4G32800"
"1242";NA;"AT1G19380";"AT2G22500"
"1243";NA;"AT3G05625";"AT1G32920"
"1244";NA;"AT1G64720";"AT5G02160"
"1245";NA;"AT2G22990";"AT5G45680"
"1246";NA;"AT2G24395";"AT4G22513"
"1247";NA;"AT3G61830";"AT2G17840"
"1248";NA;"AT5G40500";"AT3G12780"
"1249";NA;"AT2G24020";"AT5G07020"
"1250";NA;"AT1G09932";"AT4G22517"
"1251";NA;"AT1G08757";"AT4G01150"
"1252";NA;"AT5G57015";"AT3G59780"
"1253";NA;"AT2G02020";"AT5G63160"
"1254";NA;"AT4G29590";"AT2G27080"
"1255";NA;"AT5G44680";"AT2G35290"
"1256";NA;"AT1G54820";"AT1G77490"
"1257";NA;"AT3G17040";"AT4G26200"
"1258";NA;"AT1G33600";"AT3G56090"
"1259";NA;"AT5G14730";"AT2G36145"
"1260";NA;"AT5G56980";"AT4G33920"
"1261";NA;"AT4G11900";"AT1G03680"
"1262";NA;"AT4G21740";"AT3G62150"
"1263";NA;"AT4G16410";"AT3G19480"
"1264";NA;"AT1G58080";"AT1G65230"
"1265";NA;"AT3G57880";"AT1G76080"
"1266";NA;"AT5G09876";"AT4G22485"
"1267";NA;"AT1G19740";"AT5G36925"
"1268";NA;"AT1G26210";"AT1G11740"
"1269";NA;"AT1G80030";"AT1G11860"
"1270";NA;"AT2G08220";"AT2G01590"
"1271";NA;"AT3G60750";"AT2G26190"
"1272";NA;"AT2G47060";"AT1G54780"
"1273";NA;"ATCG00070";"AT1G24260"
"1274";NA;"AT5G35790";"AT5G02120"
"1275";NA;"AT3G25660";"AT4G27700"
"1276";NA;"AT3G01205";"AT2G13360"
"1277";NA;"AT2G31380";"AT3G48310"
"1278";NA;"AT1G58370";"AT5G17230"
"1279";NA;"AT4G37610";"AT1G75000"
"1280";NA;"AT2G06995";"AT2G32140"
"1281";NA;"AT5G28500";"AT1G21140"
"1282";NA;"AT1G32900";"AT1G44446"
"1283";NA;"AT3G47560";"AT1G22690"
"1284";NA;"AT5G24030";"AT4G17090"
"1285";NA;"AT5G49280";"AT1G05575"
"1286";NA;"AT3G07470";"AT1G52220"
"1287";NA;"AT2G01670";"AT1G61890"
"1288";NA;"AT3G06880";"AT1G34000"
"1289";NA;"AT2G04842";"AT1G74950"
"1290";NA;"AT4G33470";"AT4G01050"
"1291";NA;"AT2G43945";"AT2G01300"
"1292";NA;"AT3G25600";"AT1G02400"
"1293";NA;"AT3G21530";"AT2G41105"
"1294";NA;"AT2G43100";"AT2G41990"
"1295";NA;"AT5G27560";"AT1G70090"
"1296";NA;"AT5G41080";"AT5G47230"
"1297";NA;"AT5G39190";"AT5G39530"
"1298";NA;"AT4G27440";"AT1G04800"
"1299";NA;"AT4G34350";"AT3G61870"
"1300";NA;"AT4G39640";"AT1G18740"
"1301";NA;"AT3G16530";"AT3G04640"
"1302";NA;"AT4G00770";"AT4G27030"
"1303";NA;"AT4G00750";"AT5G13700"
"1304";NA;"AT3G58850";"AT3G55240"
"1305";NA;"AT5G12900";"AT1G79510"
"1306";NA;"AT5G42765";"AT5G19890"
"1307";NA;"AT3G47250";"AT5G52570"
"1308";NA;"AT1G16130";"AT5G35735"
"1309";NA;"AT5G13100";"AT1G49570"
"1310";NA;"AT3G47570";"AT2G27402"
"1311";NA;"AT5G67385";"AT1G70820"
"1312";NA;"AT2G43010";"AT1G59910"
"1313";NA;"AT1G09750";"AT5G43750"
"1314";NA;"AT4G26860";"AT2G02310"
"1315";NA;"AT2G48121";"AT3G56290"
"1316";NA;"AT4G25130";"AT5G17170"
"1317";NA;"AT2G38480";"AT4G19520"
"1318";NA;"AT5G14570";"AT1G21910"
"1319";NA;"AT1G14540";"AT4G13495"
"1320";NA;"AT3G55960";"AT1G75100"
"1321";NA;"AT5G07460";"AT1G62780"
"1322";NA;"AT2G46750";"AT1G17750"
"1323";NA;"AT5G55220";"AT4G22510"
"1324";NA;"AT4G37200";"AT1G73500"
"1325";NA;"AT4G14450";"AT1G16370"
"1326";NA;"AT2G14960";"AT3G17800"
"1327";NA;"AT1G11070";"AT2G33580"
"1328";NA;"AT1G32910";"AT1G28370"
"1329";NA;"AT2G19710";"AT5G63770"
"1330";NA;"AT5G19855";"AT5G35970"
"1331";NA;"AT1G62400";"AT2G30010"
"1332";NA;"AT4G12980";"AT1G25400"
"1333";NA;"AT4G04570";"AT1G23130"
"1334";NA;"AT1G17340";"AT5G19110"
"1335";NA;"AT4G01995";"AT1G71500"
"1336";NA;"AT4G15270";"AT4G02200"
"1337";NA;"AT2G21080";"AT5G42070"
"1338";NA;"AT5G52960";"AT3G21870"
"1339";NA;"AT4G31550";"AT5G58680"
"1340";NA;"AT4G31780";"AT5G19220"
"1341";NA;"AT1G76360";"AT4G20362"
"1342";NA;"AT5G66530";"AT5G16400"
"1343";NA;"AT4G32030";"AT5G51990"
"1344";NA;"AT5G58650";"AT4G22475"
"1345";NA;"AT4G15800";"AT4G23180"
"1346";NA;"AT1G66100";"AT1G64770"
"1347";NA;"AT5G14660";"AT1G69890"
"1348";NA;"AT3G07460";"AT4G18740"
"1349";NA;"AT5G63140";"AT1G70740"
"1350";NA;"AT1G44920";"AT1G67470"
"1351";NA;"AT4G31390";"AT5G08050"
"1352";NA;"AT1G05143";"AT5G54720"
"1353";NA;"AT5G42760";"AT1G51820"
"1354";NA;"AT1G15140";"AT3G25190"
"1355";NA;"AT1G07280";"AT1G22570"
"1356";NA;"AT2G39850";"AT1G72450"
"1357";NA;"AT1G19720";"AT4G09350"
"1358";NA;"AT3G62820";"AT1G19180"
"1359";NA;"AT1G07000";"AT2G27500"
"1360";NA;"AT5G47040";"AT4G22710"
"1361";NA;"AT2G42130";"AT2G46720"
"1362";NA;"AT5G22620";"AT3G62030"
"1363";NA;"AT1G14280";"AT2G35370"
"1364";NA;"AT4G13670";"AT1G23310"
"1365";NA;"AT2G27310";"AT5G01600"
"1366";NA;"AT4G28025";"AT4G01390"
"1367";NA;"AT3G15780";"AT1G66160"
"1368";NA;"AT5G65730";"AT1G44000"
"1369";NA;"AT2G04790";"AT3G28340"
"1370";NA;"AT3G58120";"AT1G74470"
"1371";NA;"AT4G30210";"AT1G08930"
"1372";NA;"AT1G74430";"AT2G26500"
"1373";NA;"AT3G22750";"AT3G19680"
"1374";NA;"AT5G64460";"AT5G08330"
"1375";NA;"AT2G28800";"AT3G56880"
"1376";NA;"AT2G23290";"AT1G13650"
"1377";NA;"AT1G21540";"AT1G52510"
"1378";NA;"AT1G06410";"AT2G05310"
"1379";NA;"AT1G01320";"AT1G27100"
"1380";NA;"AT4G18340";"AT1G43670"
"1381";NA;"AT2G21340";"AT3G07315"
"1382";NA;"AT1G31290";"AT3G28270"
"1383";NA;"AT2G46100";"AT3G52400"
"1384";NA;"AT3G49220";"AT1G67700"
"1385";NA;"AT5G63060";"ATCG01020"
"1386";NA;"AT5G08410";"AT1G26761"
"1387";NA;"AT5G48540";"AT1G10360"
"1388";NA;"AT3G11840";"AT1G28380"
"1389";NA;"AT2G32560";"AT3G53470"
"1390";NA;"AT5G36920";"AT3G26650"
"1391";NA;"AT3G44020";"AT1G78230"
"1392";NA;"AT5G41810";"AT1G50745"
"1393";NA;"AT4G02170";"AT5G54770"
"1394";NA;"AT4G37000";"AT3G15540"
"1395";NA;"AT4G30780";"AT3G46620"
"1396";NA;"AT5G43500";"AT3G49530"
"1397";NA;"AT4G27800";"AT4G17615"
"1398";NA;"AT1G31130";"AT2G35658"
"1399";NA;"AT3G28200";"ATCG00470"
"1400";NA;"AT2G37025";"AT5G27290"
"1401";NA;"AT3G12110";"AT1G29070"
"1402";NA;"AT4G36730";"AT2G30040"
"1403";NA;"AT1G03730";"AT1G24330"
"1404";NA;"AT2G46500";"AT5G46295"
"1405";NA;"AT1G47580";"AT1G07180"
"1406";NA;"AT2G45470";"AT2G25250"
"1407";NA;"AT1G74330";"AT1G61300"
"1408";NA;"AT1G50460";"AT1G62280"
"1409";NA;"AT4G00400";"AT4G36850"
"1410";NA;"AT5G03940";"AT1G79310"
"1411";NA;"AT1G17345";"AT1G16080"
"1412";NA;"AT5G46440";"AT4G01883"
"1413";NA;"AT5G42930";"AT4G36700"
"1414";NA;"AT2G20562";"AT1G03055"
"1415";NA;"AT5G39030";"AT5G12860"
"1416";NA;"AT1G68690";"AT3G55840"
"1417";NA;"AT5G64260";"AT5G59490"
"1418";NA;"AT3G49260";"AT5G58430"
"1419";NA;"AT5G39160";"AT4G22690"
"1420";NA;"AT1G21350";"AT5G49730"
"1421";NA;"AT4G30280";"AT3G12345"
"1422";NA;"AT1G50450";"AT5G54710"
"1423";NA;"AT1G74440";"AT1G32990"
"1424";NA;"AT3G15770";"AT2G38140"
"1425";NA;"AT4G15330";"AT3G59080"
"1426";NA;"AT1G18210";"AT3G18690"
"1427";NA;"AT3G48560";"AT1G50740"
"1428";NA;"AT5G48545";"AT5G46490"
"1429";NA;"AT5G22390";"AT3G15360"
"1430";NA;"AT1G49380";"AT4G21410"
"1431";NA;"AT5G59920";"AT4G02350"
"1432";NA;"AT5G24380";"AT3G15840"
"1433";NA;"AT2G27260";"AT1G58290"
"1434";NA;"AT2G43750";"AT1G72940"
"1435";NA;"AT3G16240";"AT2G43560"
"1436";NA;"AT4G39570";"AT2G40140"
"1437";NA;"AT5G55930";"AT1G74730"
"1438";NA;"AT1G31190";"AT1G45474"
"1439";NA;"AT3G10420";"AT2G43140"
"1440";NA;"AT5G01050";"AT3G44190"
"1441";NA;"AT1G27480";"AT5G26030"
"1442";NA;"AT4G09030";"AT2G14290"
"1443";NA;"AT1G56510";"AT4G21830"
"1444";NA;"AT4G24750";"AT5G64660"
"1445";NA;"AT4G33500";"AT4G36500"
"1446";NA;"AT1G19715";"AT2G41680"
"1447";NA;"AT4G10060";"AT4G18280"
"1448";NA;"AT4G10510";"AT2G24090"
"1449";NA;"AT5G26200";"AT3G10280"
"1450";NA;"AT5G58750";"AT3G62720"
"1451";NA;"AT1G11850";"AT5G38520"
"1452";NA;"AT1G53440";"AT1G29700"
"1453";NA;"AT2G35830";"AT2G15020"
"1454";NA;"AT4G34730";"AT1G50732"
"1455";NA;"AT1G11720";"AT4G25080"
"1456";NA;"AT1G51700";"AT5G59730"
"1457";NA;"AT5G33370";"AT1G16720"
"1458";NA;"AT2G35410";"AT1G03630"
"1459";NA;"AT5G19850";"AT2G36220"
"1460";NA;"AT5G06530";"AT4G11460"
"1461";NA;"AT5G23350";"AT2G40100"
"1462";NA;"AT3G62420";"AT4G17500"
"1463";NA;"AT5G45390";"AT5G64905"
"1464";NA;"AT1G55960";"AT3G49160"
"1465";NA;"AT1G67280";"AT5G23120"
"1466";NA;"AT3G27050";"AT3G27830"
"1467";NA;"AT1G15380";"AT4G27657"
"1468";NA;"AT5G24490";"AT1G32630"
"1469";NA;"AT1G21130";"AT5G51010"
"1470";NA;"AT5G10170";"AT1G04027"
"1471";NA;"AT5G39830";"AT2G42380"
"1472";NA;"AT4G26400";"AT1G32450"
"1473";NA;"AT3G18390";"AT1G72900"
"1474";NA;"AT4G25810";"AT5G61660"
"1475";NA;"AT2G32860";"AT2G37430"
"1476";NA;"AT4G00895";"AT3G28180"
"1477";NA;"AT5G12880";"AT5G51110"
"1478";NA;"AT3G09580";"AT3G14930"
"1479";NA;"AT1G07490";"AT5G61600"
"1480";NA;"AT3G07360";"AT3G19030"
"1481";NA;"AT4G12060";"AT3G54500"
"1482";NA;"AT2G04795";"AT4G29670"
"1483";NA;"AT1G08520";"AT5G53490"
"1484";NA;"AT1G49975";"AT4G17810"
"1485";NA;"AT4G12320";"AT1G50320"
"1486";NA;"AT5G04490";"AT1G01790"
"1487";NA;"AT4G33560";"AT3G15850"
"1488";NA;"AT5G03520";"AT3G56910"
"1489";NA;"AT5G05190";"AT4G37260"
"1490";NA;"AT3G23730";"AT4G06195"
"1491";NA;"AT3G45160";"AT1G56190"
"1492";NA;"AT1G01990";"AT3G23170"
"1493";NA;"AT2G22230";"AT1G73550"
"1494";NA;"AT4G24370";"AT3G27160"
"1495";NA;"AT4G30140";"AT4G18197"
"1496";NA;"AT2G06050";"AT2G34510"
"1497";NA;"AT3G29370";"AT4G23890"
"1498";NA;"AT4G22830";"AT4G02530"
"1499";NA;"AT1G53430";"AT4G16990"
"1500";NA;"AT2G30170";"AT3G14200"
"1501";NA;"AT2G46830";"AT5G59750"
"1502";NA;"AT3G45970";"AT5G45070"
"1503";NA;"AT2G30990";"AT4G37710"
"1504";NA;"AT5G18150";"AT1G32220"
"1505";NA;"AT3G53460";"AT2G42750"
"1506";NA;"AT3G15900";"AT3G25250"
"1507";NA;"AT5G42310";"AT3G11820"
"1508";NA;"AT2G25840";"AT4G24770"
"1509";NA;"AT1G07010";"AT1G72930"
"1510";NA;"AT2G22540";"AT4G39890"
"1511";NA;"AT1G66130";"AT4G13340"
"1512";NA;"AT5G16390";"AT1G23740"
"1513";NA;"AT1G24148";"AT3G09940"
"1514";NA;"AT4G11175";"AT5G44350"
"1515";NA;"AT5G38980";"AT2G47450"
"1516";NA;"AT5G57040";"AT3G54900"
"1517";NA;NA;"AT3G26570"
"1518";NA;NA;"AT1G02810"
"1519";NA;NA;"AT5G10100"
"1520";NA;NA;"AT2G26080"
"1521";NA;NA;"AT3G54810"
"1522";NA;NA;"AT1G33811"
"1523";NA;NA;"AT1G77090"
"1524";NA;NA;"AT2G20570"
"1525";NA;NA;"AT1G52120"
"1526";NA;NA;"AT1G73110"
"1527";NA;NA;"AT1G52290"
"1528";NA;NA;"AT4G22490"
"1529";NA;NA;"AT1G68590"
"1530";NA;NA;"AT3G24520"
"1531";NA;NA;"AT5G06980"
"1532";NA;NA;"AT1G78070"
"1533";NA;NA;"AT4G31800"
"1534";NA;NA;"AT3G62260"
"1535";NA;NA;"AT5G04140"
"1536";NA;NA;"AT2G33450"
"1537";NA;NA;"AT3G23230"
"1538";NA;NA;"AT1G59740"
"1539";NA;NA;"AT1G62750"
"1540";NA;NA;"AT3G05320"
"1541";NA;NA;"AT5G57345"
"1542";NA;NA;"AT5G01710"
"1543";NA;NA;"AT5G43170"
"1544";NA;NA;"AT3G57450"
"1545";NA;NA;"AT5G40450"
"1546";NA;NA;"AT5G54490"
"1547";NA;NA;"AT4G18480"
"1548";NA;NA;"AT1G32928"
"1549";NA;NA;"AT1G74670"
"1550";NA;NA;"AT2G42975"
"1551";NA;NA;"AT3G27850"
"1552";NA;NA;"AT1G02660"
"1553";NA;NA;"AT3G54000"
"1554";NA;NA;"AT5G64310"
"1555";NA;NA;"AT3G51450"
"1556";NA;NA;"AT5G13510"
"1557";NA;NA;"AT3G61640"
"1558";NA;NA;"AT5G66650"
"1559";NA;NA;"AT2G44920"
"1560";NA;NA;"AT4G12720"
"1561";NA;NA;"AT5G52882"
"1562";NA;NA;"AT2G47560"
"1563";NA;NA;"AT5G10750"
"1564";NA;NA;"AT5G18660"
"1565";NA;NA;"AT1G22470"
"1566";NA;NA;"AT3G06750"
"1567";NA;NA;"AT5G64870"
"1568";NA;NA;"AT5G44130"
"1569";NA;NA;"AT2G20835"
"1570";NA;NA;"AT3G54210"
"1571";NA;NA;"AT3G47650"
"1572";NA;NA;"AT3G50685"
"1573";NA;NA;"AT5G37770"
"1574";NA;NA;"AT3G55950"
"1575";NA;NA;"AT2G23810"
"1576";NA;NA;"AT1G29690"
"1577";NA;NA;"AT2G36690"
"1578";NA;NA;"AT3G63410"
"1579";NA;NA;"AT5G01100"
"1580";NA;NA;"AT1G68520"
"1581";NA;NA;"AT5G56850"
"1582";NA;NA;"AT1G15830"
"1583";NA;NA;"AT2G32550"
"1584";NA;NA;"AT5G64940"
"1585";NA;NA;"AT4G17600"
"1586";NA;NA;"AT1G22630"
"1587";NA;NA;"AT2G05620"
"1588";NA;NA;"AT1G07320"
"1589";NA;NA;"AT1G18570"
"1590";NA;NA;"AT1G74070"
"1591";NA;NA;"AT2G21280"
"1592";NA;NA;"AT2G23170"
"1593";NA;NA;"AT5G37360"
"1594";NA;NA;"AT1G78280"
"1595";NA;NA;"AT5G65300"
"1596";NA;NA;"AT2G32500"
"1597";NA;NA;"AT4G34190"
"1598";NA;NA;"AT1G55450"
"1599";NA;NA;"AT1G73080"
"1600";NA;NA;"AT1G56500"
"1601";NA;NA;"AT1G11050"
"1602";NA;NA;"AT1G75350"
"1603";NA;NA;"AT1G35210"
"1604";NA;NA;"AT1G27770"
"1605";NA;NA;"AT3G25655"
"1606";NA;NA;"AT2G21530"
"1607";NA;NA;"AT2G21170"
"1608";NA;NA;"AT4G01535"
