"";"activated.genes";"repressed.genes";"DEGs"
"510";NA;NA;"AT1G04027"
"511";NA;NA;"AT4G01390"
"512";NA;NA;"AT4G39890"
"513";NA;NA;"AT3G16440"
"514";NA;NA;"AT2G19572"
"515";NA;NA;"AT3G49960"
"516";NA;NA;"AT1G33610"
"517";NA;NA;"AT1G19530"
"518";NA;NA;"AT2G45685"
"519";NA;NA;"AT3G54200"
"520";NA;NA;"AT4G15330"
"521";NA;NA;"AT5G12340"
"522";NA;NA;"AT5G07100"
"523";NA;NA;"AT5G46295"
"524";NA;NA;"AT1G51820"
"525";NA;NA;"AT1G02660"
"526";NA;NA;"AT2G42760"
"527";NA;NA;"AT5G35490"
"528";NA;NA;"AT1G61820"
"529";NA;NA;"AT4G18950"
"530";NA;NA;"AT2G34350"
"531";NA;NA;"AT5G56980"
"532";NA;NA;"AT5G26770"
"533";NA;NA;"AT2G31880"
"534";NA;NA;"AT4G20830"
"535";NA;NA;"AT2G26380"
